"Family","Subfamily","Tribe","Species","Haploid Number","Sex Chromosome System","Reference"
"Drosophilidae","","","Drosophila calloptera",5,"XY","Metz, C.W., 1916. Chromosome studies on the Diptera. III. Additional types of chromosome groups in the Drosophilidae. The American Naturalist, 50(598), pp.587-599., Wharton, L.T., 1943 An analysis of the metaphase and salivary chromosome morphology within the genus Drosophila. Univ. Texas Publ. 4312:282-319., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila calloptera",5,"not reported","Clayton, F.E. and Ward, C.L., (1954).  ""Chromosomal Studies of Several Species of Drosophilidae"" in Patterson, J.T. Studies in the Genetics of Drosophila V.III Articles on Genetics, Taxonomy, Cytology, and Radiation. University of Texas Publ. pp 98-143., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila camargoi",4,"not reported","Pavan, C., 1950 Especies brasileiras de Drosophila. II. Bol. Fac. Filos. Cienc. Letr. Univ. Sao Paulo NO. 111 Biol. Ger. 8:3-37., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila camargoi",4,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila camaronensis",5,"not reported","Brncic, D., 1957  Las especies chilenas de Drosophilidae. Col. Monografias Biol., Univ. Chile, Santiago (Chile) 8:1-136., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila canalinea",3,"XY","Patterson, J.T. and Mainland, G.B., 1944. The Drosophilidae of Mexico. Univ. Tex. Pub, 4445, pp.9-101., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila canalinea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila canalinioides",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila canalinioides",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila canapalpa",6,"XY","Patterson, J.T. and Mainland, G.B., 1944. The Drosophilidae of Mexico. Univ. Tex. Pub, 4445, pp.9-101., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila canapalpa",6,"not reported","Dobzhansky, T. and Pavan, C., 1943. Chromosome complements of some South-Brazilian species of Drosophila.Proceedings of the National Academy of Sciences of the United States of America,29(11), p.368., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cancellata",5,"not reported","Mather, W.B., 1956 The genus Drosophila (Diptera) in eastern Queensland.  III. Cytological Evolution.  Aust. J. Zool. 4: 76-89., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila caponei",4,"not reported","Pavan C. and A. B. da Cunha, 1947 Especies brasileiras de Drosophila. Bol. Fac. Filos. Cienc. Letr. Univ. Sao Paulo, No. 85 Biol. Ger. 7:20-64., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila capricorni",3,"XY","Dobzhansky, T.G. and Pavan, C., 1943. Studies on Brazilian species of Drosophila. Boletim da Faculdade de Filosofia, Cincias e Letras da Universidade de Sao Paulo. Biologia Geral. Separata, 36(4), pp.7-72., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila carbonaria",6,"not reported","Ward, C.L., 1949. Karyotype variation in Drosophila.Univ. Texas Publ.,4920, pp.70-79., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila carcinophila",5,"not reported","Carson, H.L., 1967. The association between Drosophila carcinophila Wheeler and its host, the land crab Gecarcinus ruricola (L.). American Midland Naturalist, pp.324-343., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cardini",6,"XY","Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila cardini",6,"not reported","Metz, C.W., 1916. Chromosome studies on the Diptera. III. Additional types of chromosome groups in the Drosophilidae. The American Naturalist, 50(598), pp.587-599., Wharton, L.T., 1943 An analysis of the metaphase and salivary chromosome morphology within the genus Drosophila. Univ. Texas Publ. 4312:282-319., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cardini",4,"not reported","Wharton, L.T., 1943. An analysis of the metaphase and salivary chromosome morphology within the genus Drosophila. Univ. Texas Publ., 4313, pp.282-319., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cardini",6,"not reported","Ward, C.L., 1949. Karyotype variation in Drosophila. Univ. Texas Publ., 4920, pp.70-79., Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila. Univ Texas Publs, 5721, pp.125-131., Heed, W. B. and J.S. Russell, 1971  Phylogeny and population structure in island and continental species of the cardini group of Drosophila studied by inversion analysis.  Stud. Genet. IV Univ. Texas Publ. 7103:91-130., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cardini",4,"not reported","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-397"
"Drosophilidae","","","Drosophila cardini",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila cardini",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila cardini",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila cardini",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila cardini",6,"XY","Futch, D.G., 1962. Hybridization studies within the cardini species group of the genus. In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 539-554"
"Drosophilidae","","","Drosophila cardinoides",4,"XY","Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila cardinoides",4,"not reported","Dobzhansky, T. and Pavan, C., 1943. Chromosome complements of some South-Brazilian species of Drosophila.Proceedings of the National Academy of Sciences of the United States of America,29(11), p.368., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cardinoides",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila cardinoides",4,"XY","Futch, D.G., 1962. Hybridization studies within the cardini species group of the genus. In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 539-556"
"Drosophilidae","","","Drosophila caribaiana",4,"not reported","Heed, W.B. and Krishnamurthy, N.B., 1959. Genetic studies on the cardini group of Drosophila in the West Indies.Univ. Texas Publ,5914, pp.155-179., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila carsoni",6,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila castanea",4,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila castanea",4,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131.,Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila castanea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"not reported","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila castanea",4,"XY","Clayton, F.E. and Ward, C.L., (1954).  ""Chromosomal Studies of Several Species of Drosophilidae"" in Patterson, J.T. Studies in the Genetics of Drosophila V.III Articles on Genetics, Taxonomy, Cytology, and Radiation. University of Texas Publ. pp 98-144"
"Drosophilidae","","","Drosophila castanea",4,"not reported","Ward, C.L., 1949. Karyotype variation in Drosophila.Univ. Texas Publ.,4920, pp.70-79., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila centralis",6,"XY","Patterson, J.T. and Mainland, G.B., 1944. The Drosophilidae of Mexico. Univ. Tex. Pub, 4445, pp.9-101., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila chaetopeza",6,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila chamundiensis",4,"XY","Sajjan, S.N. and Krishnamurthy, N.B., 1975. Two new drosophilids from south India (Diptera: Drosophilidae). Oriental Insects, 9(1), pp.117-119., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila cheda",4,"XY","Tan, C.C., T.C. Hsu, and T.C. Sheng. 1949. Known Drosophila species in China with descriptions of twelve new species. U.T.P.,4920, 196-206., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila ciliaticrus",6,"not reported","Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-190., Clayton, F.E., Carson, H.L. and Sato, J.E., 1972. Polytene chromosome relationships in Hawaiian species of Drosophila. VI. Supplementary data on metaphases and gene sequences.Univ. Texas Publ,7213, pp.163-177., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cilifemorata",6,"not reported","Clayton, F.E., 1976. Metaphase Configurations in Drosophila: A Comparison of Endemic Hawaiian Species and Non-Endemic Species. Journal of the Arkansas Academy of Science, 30(1), pp.32-35.,Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila cilifera",6,"not reported","Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-59., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-191"
"Drosophilidae","","","Drosophila circumdata",6,"XY","Clyde, M. and Hashah, S. (1983). The chromosomes of D. circumdata Duda. Drosophila Inf. Serv. 59, 28-29., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila clavisetae",6,"not reported","Carson, H.L., Clayton, F.E. and Stalker, H.D., 1967. Karyotypic stability and speciation in Hawaiian Drosophila. Proceedings of the National Academy of Sciences of the United States of America, 57:1280-1285., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-192., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila claytonae",6,"not reported","Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-60., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-193., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cognata",6,"not reported","Clayton, F.E. (1971). Additional Karyotypes of Hawaiian Drosophilidae. Univ. Tex. Publ 7103, 171-181., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila colorata",6,"XY","Wharton, L. 1943. ""Analysis of the metaphase and salivary chromosome morphology within the genus Drosophila."" in Patterson, J.T. Studies in the Genetics of Drosophila vol. III The Drosophilidae of the Southwest.  University of Texas Publ. pp. 282-390., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila comatifemora",6,"not reported","Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila confusa",6,"not reported","Okada, T. and Kurokawa, H., 1957. New or little known species of Drosophilidae of Japan (Diptera). Kontyu, 25, pp.2-12., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Clayton, F.E. and W.C. Guest (1986).  Overview of Chromosomal Evolution in the Family Drosophilidae. in M. Ashburner, H.L Carson, J.N. Thompson (eds.), The Genetics and Biology of Drosophila, Volume 3e, pp1-38.  New York, NY:  Academic Press."
"Drosophilidae","","","Drosophila confusa",6,"not reported","Burla, H. 1950  Drosophila grischuna species nova, eine neue Art aus der Schweiz. Arch. J. Klaus-Stift. Vererbungsforsch. Sozialanthropol. Rassenhyg. 25:619-623., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila confusa",5,"not reported","Kang, Y.S., 1964. Chromosome studies on several wild species of Drosophilidae.Korean J. Zool.,7, pp.12-18., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila conjectura",6,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
"Drosophilidae","","","Drosophila conjectura",6,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404."
"Drosophilidae","","","Drosophila conspicua",6,"not reported","Carson, H.L., Clayton, F.E. and Stalker, H.D., 1967. Karyotypic stability and speciation in Hawaiian Drosophila. Proceedings of the National Academy of Sciences of the United States of America, 57:1280-1285., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-61., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila converga",6,"not reported","Heed, W.B. and Wheeler, M.R., 1957. Thirteen new species in the genus Drosophila from the neotropical region.Univ Texas Publ Stud Gen,5721, pp.17-38., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila coracina",4,"XY","Kikkawa, H., 1938. Drosophila species of Japan and its adjacent localities. Jap J Zool, 7, pp.507-555., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila coracina",4,"XY","Kang, Y.S., 1964. Chromosome studies on several wild species of Drosophilidae.Korean J. Zool.,7, pp.12-18., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila cordata",3,"not reported","Sturtevant, A.H., 1942. The classification of the genus Drosophila, with descriptions of nine species. Univ Texas Publ, 4213, pp.5-51., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila coroica",6,"not reported","Wasserman, M., 1960. Cytological and phylogenetic relationships in the repleta group of the genus Drosophila. Proceedings of the National Academy of Sciences of the United States of America, 46(6), p.842-859. Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila coroica paraguttata",6,"XY","Wasserman M., 1962. ""Cytological studies of the repleta group of the genus Drosophila"". In Wheeler, M.R. Studies in Genetics II. Research Reports on Drosophila.  Genetics, Taxonomy, and Evolution.  University of Texas Publ. 85-113"
"Drosophilidae","","","Drosophila crassifemur",5,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila crocina",6,"XY","Patterson, J.T. and Mainland, G.B., 1944. The Drosophilidae of Mexico. Univ. Tex. Pub, 4445, pp.9-101., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press., Patterson, J.T. and W.S. Stone, (1952).  Evolution in the Genus Drosophila.  New York, NY:  Macmillian Company."
"Drosophilidae","","","Drosophila crocina",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila crocina",6,"XY","Clayton, F.E. and Wasserman, M., 1957. Chromosomal studies of several species of Drosophila.Univ Texas Publs,5721, pp.125-131."
"Drosophilidae","","","Drosophila crucigera",6,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-62., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-194., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
"Drosophilidae","","","Drosophila crucigera",6,"not reported","Clayton, F.E., 1966. Preliminary report on the karyotypes of Hawaiian Drosophilidae.Univ. Texas Publ,6615, pp.397-404., Clayton, F.E., 1968. Metaphase configurations in species of the Hawaiian Drosophilidae.Univ. Texas Publ,6818, pp.263-278., Clayton, F.E., 1969. Variations in the metaphase chromosomes of Hawaiian Drosophilidae.Univ. Texas Publ,6918(95), p.95-62., Clayton, F.E. 1971 ""Additional Karyotypes of Hawaiian Drosophila"" in Wheeler, M.R. Studies in Genetics vol. VI.  University of Texas Publ. pp171-194., Clayton, F.E. and M.R. Wheeler, (1975).  A catalog of Drosophila Metaphase Configurations. in R.C. King (Ed.), Handbook of Genetics Volume 3, pp471-512.  New York, NY:  Plenum Press."
