number,Clade,Checked Initials,Data?,Last page of scholar results that have been completed.,"Each name should be combined with the words: asynaptic, achiasmatic, ""distance pairing"". So three google scholar searches for each row."
707,Arachnida,KB,Yes,"Araneae, Scorpiones, and pseudoscorpiones both have results that have been listed in data collected",
733,Ascidiacea,KL,Yes,,
807,Bdelloidea,SS,Yes,,
778,Bivalvia,KB,Yes,,
463,Blattodea,KL,Yes,,
86,Caryophyllaceae,KH,Yes,,
484,Cladocera,KB,Yes,"Lécher, P., Defaye, D. and Noel, P., 1995.  and nuclear ChromosomesDNA of Crustacea. Invertebrate Reproduction & Development, 27(2), pp.85-114.",
486,Coleoptera,HB,Yes,,
715,Copepoda,SS,Yes,,
499,Decapoda,SS,Yes,,
505,Diptera,CEH,Yes,,
810,Eutardigrada,SS,Yes,,
535,Harpacticoida,KL,Yes,,
921,Hymenoptera,KB,Yes,,
202,Isoetales,KH,Yes,,
558,Lepidoptera,KB,Yes,,
566,Mantodea,KB,Yes,,
570,Mecoptera,KB,Yes,,
966,Neuroptera,SS,Yes,,
286,Orobanchaceae,KH,Yes,,
618,Phthiraptera ,KB,Yes,,
640,Pseudoscorpionida,KB,Yes,,
656,Scolopendromorpha,KL,Yes,,
657,Scorpiones,KB,Yes,finally finished T-T,
380,Solanaceae,KH,Yes,,
687,Trichoptera,SS,Yes,,
433,Zingiberaceae,KL,Yes,,
