Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"rhodochelatus, cytotype I",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"rhodochelatus, cytotype II",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,sp. 1,Achiasmatic,Male,29,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,sp. 1,Achiasmatic,Male,29,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,sp. 2,Achiasmatic,Male,21,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,sp.2,Achiasmatic,Male,21,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,tenuis ,Achiasmatic,Male,35,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tenuis, cytotype I",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tenuis, cytotype II",Achiasmatic,Male,33,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tenuis, cytotype III",Achiasmatic,Male,33,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tenuis, cytotype IV",Achiasmatic,Male,33,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tenuis, cytotype V",Achiasmatic,Male,21,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,tetrachelatus ,Achiasmatic,Male,35,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tetrachelatus, cytotype I",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae ,Chthonius ,"tetrachelatus, cytotype II",Achiasmatic,Male,35,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Š?áhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325."
Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,araguayae,Achiasmatic,Male,44,Homomorphic sex chromosomes,,"Schneider, M.C., Mattos, V.F., Carvalho, L.S. and Cella, D.M., 2014. Organization and behavior of the synaptonemal complex during achiasmatic meiosis of four buthid scorpions. Cytogenetic and Genome Research, 144(4), pp.341-347.                                    Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
Animalia,Arachnida,Scorpiones,Bothriuridae,Bothriurus,rochensis,Achiasmatic,Male,46,Homomorphic sex chromosomes,,"Schneider, M.C., Mattos, V.F., Carvalho, L.S. and Cella, D.M., 2014. Organization and behavior of the synaptonemal complex during achiasmatic meiosis of four buthid scorpions. Cytogenetic and Genome Research, 144(4), pp.341-347.                                              Schneider, M.C., Zacaro, A.A., Pinto-Da-Rocha, R., Candido, D.M. and Cella, D.M., 2009. A comparative cytogenetic analysis of 2 Bothriuridae species and overview of the chromosome data of Scorpiones. Journal of Heredity, 100(5), pp.545-555."
