tree_label,display_name,f_kingdom,f_class,f_order,f_family,f_genus,f_species,type_meiosis,type_meiosis_ring,sex_no_recomb_ring,sex_chr_sys,diploid_num
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus_ cytotype I,raridentatus_ cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,raridentatus_ cytotype I,Achiasmatic,Achiasmatic,Heterogametic,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|raridentatus_ cytotype II,raridentatus_ cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,raridentatus_ cytotype II,Achiasmatic,Achiasmatic,Heterogametic,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus_ cytotype I,rhodochelatus_ cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,rhodochelatus_ cytotype I,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|rhodochelatus_ cytotype II,rhodochelatus_ cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,rhodochelatus_ cytotype II,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp. 1,sp. 1,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 1,Achiasmatic,Achiasmatic,Heterogametic,XO,29
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp. 2,sp. 2,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp. 2,Achiasmatic,Achiasmatic,Heterogametic,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|sp.2,sp.2,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,sp.2,Achiasmatic,Achiasmatic,Heterogametic,XO,21
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis,tenuis,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_ cytotype I,tenuis_ cytotype I,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype I,Achiasmatic,Achiasmatic,Heterogametic,XO,35
Animalia|Arachnida|Pseudoscorpionida|Chthoniidae|Chthonius|tenuis_ cytotype II,tenuis_ cytotype II,Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,tenuis_ cytotype II,Achiasmatic,Achiasmatic,Heterogametic,XO,33
