Kingdom,Class,Order,Family,Genus,Species,Meiosis Type,Achiasmatic Sex,Diploid Number,Sex Chromosome System,Simplified SCS,Citation,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,NCBI_Standardized_Name
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,reclusa,Achiasmatic Meiosis,Male,18,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loxosceles reclusa
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufescens,Achiasmatic Meiosis,Male,22,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loxosceles rufescens
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,rufipes,Achiasmatic Meiosis,Male,20,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,spinulosa,Achiasmatic Meiosis,Male,20,XY,XY,"Araujo, D., Schneider, M.C., Zacaro, A.A., De Oliveira, E.G., Martins, R., Brescovit, A.D., Knysak, I. and Cella, D.M., 2020. Venomous Loxosceles species (Araneae, Haplogynae, Sicariidae) from Brazil: 2n♂= 23 and X1X2Y sex chromosome system as shared characteristics. Zoological science, 37(2), pp.128-139.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loxosceles spinulosa
Animalia,Arachnida,Araneae,Sicariidae,Loxosceles,spinulosa,Achiasmatic Meiosis,Male,20,X1X2Y,Complex XY,"Král, J., Musilová, J., Št’áhlavský, F., Řezáč, M., Akan, Z., Edwards, R.L., Coyle, F.A. and Almerje, C.R., 2006. Evolution of the karyotype and sex chromosome systems in basal clades of araneomorph spiders (Araneae: Araneomorphae). Chromosome Research, 14, pp.859-880.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loxosceles spinulosa
Animalia,Arachnida,Pseudoscorpines,Atemnidae,Atemnus,politus,Achiasmatic Sex Chromosomes,Male,96,XO,XO,"Šťáhlavský, F., Král, J., Harvey, M.S. and Haddad, C.R., 2012. The first cytogenetic characterization of atemnids: pseudoscorpions with the highest chromosome numbers (Arachnida: Pseudoscorpiones). Cytogenetic and Genome Research, 137(1), pp.22-30.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atemnus politus
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,alpicola,Achiasmatic Meiosis,Male,22,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chthonius alpicola
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,boldorii,Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ephippiochthonius boldorii
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,carinthiacus,Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,diophthalmus,Achiasmatic Meiosis,Male,34,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,fuscimanus,Achiasmatic Meiosis,Male,36,XO,XO,"Kotrbová, J., Opatova, V., Gardini, G. and Šťáhlavský, F., 2016. Karyotype diversity of pseudoscorpions of the genus Chthonius (Pseudoscorpiones, Chthoniidae) in the Alps. Comparative Cytogenetics, 10(3), p.325.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ephippiochthonius fuscimanus
Animalia,Arachnida,Pseudoscorpionida,Chthoniidae,Chthonius,fuscimanus,Achiasmatic Meiosis,Male,36,XO,XO,"Š? ÁHLAVSKÝ, F.R.A.N.T.I.Š.E.K. and KRÁL, J., 2004. Karyotype analysis and achiasmatic meiosis in pseudoscorpions of the family Chthoniidae (Arachnida: Pseudoscorpiones). Hereditas, 140(1), pp.49-60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ephippiochthonius fuscimanus
