Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid,Male Diploid,Achiasmy Sex,Sex Chromosome System,SCS Notes,Citation
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus forsteri,,,2,36,36,,XY,,Animal Karyotype Book 2020 (Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus pusillus,,,2,36,36,,XY,,Animal Karyotype Book (Arnason 1977)
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,,,2,36,36,,XY,,Blackmon (Arnason 1977)
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias jubatus,,,2,36,36,,XY,,Blackmon (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Phocarctos hookeri,,,2,36,36,,XY,,Animal Karyotype Book 2020 (Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Otariidae,Zalophus californianus,,,2,36,36,,XY,,Blackmon (Arnason 1974a)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Cystophora cristata,,,2,34,34,,XY,,Blackmon (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Erignathus barbatus,,,2,34,34,,XY,,Blackmon (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus grypus,,,2,32,32,,XY,,Blackmon (Arnason 1970a)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes weddelli,,,2,34,34,,XY,,Animal Karyotype Book (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Mirounga angustirostris,,,2,34,34,,XY,,Animal Karyotype Book (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Monachus schauinslandi,,,2,34,34,,XY,,Animal Karyotype Book (Arnason 1974b)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Pagophilus groenlandicus,,,2,32,32,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Phoca fasciata,,,2,32,32,,XY,,Animal Karyotype Book (Arnason 1977)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Phoca groenlandica,,,2,32,32,,XY,,Animal Karyotype Book (Arnason 1974c)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Phoca largha,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Phoca vitulina,,,2,32,32,,XY,,Blackmon (Fronicke et al. 1997)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Pusa hispida,,,2,32,32,,XY,,Blackmon (Arnason 1974c)
Mammal,Chordata,Mammalia,Carnivora,Phocidae,Pusa sibirica,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Beklemisheva et al. 2016)
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Ailurus fulgens,,,2,36,36,,XY,,Blackmon (Ni et al. 2002)
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus astutus,,,2,38,38,,XY,,Blackmon (Nash et al. 2008)
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Brassaricyon sp.,,,2,38,38,,XY,,Animal Karyotype Book (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Nasua nasua,,,2,38,38,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Potos flavus,,,2,38,38,,XY,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Procyonidae,Procyon lotor,,,2,38,38,,XY,,Blackmon (Stanyon et al. 1993)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda melanoleuca,,,2,42,42,,XY,,Animal Karyotype Book (Nash et al. 2001)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Helarctos malayanus,,,2,74,74,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Selenarctos thibetanus,,,2,74,74,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Tremarctos ornatus,,,2,52,52,,XY,,Animal Karyotype Book (Nash et al. 1998)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus americanus,,,2,74,74,,XY,,Blackmon (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus arctos,,,2,74,74,,XY,,Animal Karyotype Book (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus malayanus,,,2,74,74,,XY,,Animal Karyotype Book (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus maritimus,,,2,74,74,,XY,,Animal Karyotype Book (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus thibetanus,,,2,74,74,,XY,,Animal Karyotype Book (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Ursidae,Ursus ursinus,,,2,74,74,,XY,,Animal Karyotype Book (Nash and O'Brien 1987)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Arctictis binturong,,,2,42,42,,XY,,Blackmon (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Arctogalidia trivirgata stigmatica,,,2,40,40,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta genetta,,,2,54,54,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta genetta neumanni,,,2,52,52,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta johnstoni,,,2,50,50,,XY,,Animal Karyotype Book 2020 (Gaubert et al. 2004)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta maculata,,,2,52,52,,XY,,Animal Karyotype Book 2020 (Matoso Silva et al. 2016)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta pardina,,,2,52,52,,XY,,Animal Karyotype Book 2020 (Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Genetta tigrina,,,2,54,54,,XY,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Hemigalus derbyanus,,,2,42,42,,XY,,Animal Karyotype Book (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Paguma larvata,,,2,44,44,,XY,,Animal Karyotype Book (Perelman et al. 2005)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus hermaphroditicus,,,2,42,42,,XY,,Blackmon (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Prionodon linsang,,,2,34,34,,XY,,Blackmon (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Viverricula indica,,,2,38,38,,XY,,Blackmon (Wurster-Hill and Gray 1975)
Mammal,Chordata,Mammalia,Carnivora,Viverridae,Viverricula indica,,,2,36,36,,XY,,Animal Karyotype Book 2020 (Nie et al. 2012)
Mammal,Chordata,Mammalia,Chiroptera,Emballonuridae,Cormura brevirostris,,,2,22,22,,XY,,Animal Karyotype Book 2020 (Araujo et al. 2016)
Mammal,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous longimanus,,,2,42,42,,XY,,Blackmon (Sreepada et al. 1995)
Mammal,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous melanopogon,,,2,42,42,,XY,,Animal Karyotype Book (Sreepada et al. 1995)
Mammal,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous nudiventris,,,2,42,42,,XY,,Animal Karyotype Book (Sreepada et al. 1995)
Mammal,Chordata,Mammalia,Chiroptera,Emballonuridae,Taphozous saccolaimus,,,2,44,44,,XY,,Animal Karyotype Book (Sreepada et al. 1995)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Aselliscus stoliczkanus,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Ao et al. 2007)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros armiger,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Mao et al. 2010)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros ater,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros cineraceus,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros fulvus,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros fulvus pallidus,,,2,32,32,,XY,,Animal Karyotype Book (Choudhury and Patro 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros lankadiva,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros larvatus,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Volleth et al. 2002)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros pomona,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros pomona,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Mao et al. 2010)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros pratti,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Mao et al. 2010)
Mammal,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros speoris,,,2,32,32,,XY,,Animal Karyotype Book (Sreepada et al. 1993)
Mammal,Chordata,Mammalia,Chiroptera,Megadermatidae,Megaderma lyra,,,2,54,54,,XY,,Animal Karyotype Book (Choudhury and Mohanty 1993)
Mammal,Chordata,Mammalia,Chiroptera,Megadermatidae,Megaderma spasma,,,2,38,38,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1992)
Mammal,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus fuliginosus,,,2,46,46,,XY,,Animal Karyotype Book 2020 (Ao et al.2006)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Chaerephon plicatus,,,2,48,48,,XY,,Animal Karyotype Book 2020 (Mao et al. 2007b)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Eumops glaucinus,,,2,40,40,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Eumops perotis,,,2,48,48,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Molossops abrasus,,,2,34,34,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Molossops temminckii,,,2,48,48,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Molossus molossus,,,2,48,48,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Molossus rufus,,,2,48,48,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Nyctinomops laticaudatus,,,2,48,48,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1996)
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida brasiliensis,,,2,48,48,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Molossidae,Tadarida teniotis,,,2,48,48,,XY,,Animal Karyotype Book 2020 (Mao et al. 2008)
Mammal,Chordata,Mammalia,Chiroptera,Mormoopidae,Mormoops blainvillii,,,2,38,38,,XY,,Animal Karyotype Book (Sites et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus gymnonotus,,,2,38,38,,XY,,Animal Karyotype Book (Sites et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus macleayii,,,2,38,38,,XY,,Animal Karyotype Book (Sites et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus parnelii,,,2,38,38,,XY,,Blackmon (Sites et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Mormoopidae,Pteronotus personatus,,,2,38,38,,XY,,Animal Karyotype Book (Sites et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Mystacinidae,Mystacina tuberculata,,,2,36,36,,XY,,Animal Karyotype Book (Bickham et al. 1980)
Mammal,Chordata,Mammalia,Chiroptera,Natalidae,Natalus major,,,2,36,36,,XY,,Animal Karyotype Book (Hoyt and Baker 1980)
Mammal,Chordata,Mammalia,Chiroptera,Natalidae,Natalus tumidirostris,,,2,36,36,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Noctilionidae,Noctilio albiventris,,,2,34,34,,XY,,Blackmon (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ametrida centurio,,,2,31,32,,complex XY,XY1Y2,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura caudifera,,,2,30,30,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura cultrata,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ardops nichollsi,,,2,30,31,,complex XY,XY1Y2,Animal Karyotype Book 2020 (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ariteus flavescens,,,2,30,31,,complex XY,XY1Y2,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus jamaicensis,,,2,30,31,,complex XY,XY1Y2,Blackmon (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus jamaicensis,,,2,28,28,,complex XY,XY1Y2,Animal Karyotype Book 2020 (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus lituratus,,,2,30,31,,complex XY,XY1Y2,Blackmon (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus nichollsi,,,2,31,32,,complex XY,XY1Y2,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus obscurus,,,2,30,31,,complex XY,XY1Y2,Animal Karyotype Book 2020 (Pieczarka et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus toltecus,,,2,30,31,,complex XY,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia brevicauda,,,2,20,21,,complex XY,XY1Y2,Animal Karyotype Book (Stock 1975)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia castanea,,,2,22,22,,XY,,Animal Karyotype Book (Stock 1975)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia castanea,,,2,20,20,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia perspicillata,,,2,20,21,,complex XY,XY1Y2,Blackmon (Teeling and Stanyon (Unpublished))
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Carollia subrufa,,,2,20,21,,complex XY,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chiroderma doriae,,,2,26,26,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chiroderma improvisum,,,2,26,26,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chiroderma villosum,,,2,26,26,,XY,,Blackmon (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Choeroniscus godmani,,,2,20,19,,complex XY,X1X2Y,Blackmon (Hsu et al. 1968)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Choeroniscus itermedius,,,2,20,20,,XY,,Animal Karyotype Book (Stock 1975)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Choeroniscus minor,,,2,20,20,,XY,,Animal Karyotype Book 2020 (Das Neves et al. 2001)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Choeronycteris mexicana,,,2,16,16,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Chrotopterus auritus,,,2,28,28,,XY,,Animal Karyotype Book (Morielle-Versute et al. 1992)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus rotundus,,,2,28,28,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus rotundus murius,,,2,28,28,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Diaemus youngi,,,2,32,32,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Diphylla ecaudata,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Ectophylla alba,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Enchisthenes hartii,,,2,31,32,,complex XY,XY1Y2,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Erophylla sezekorni,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Glossophaga soricina,,,2,32,32,,XY,,Blackmon (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Hylonycteris underwoodi,,,2,16,16,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lichonycteris obscura,,,2,24,24,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lionycteris obscura,,,2,24,24,,XY,,Animal Karyotype Book 2020 (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lionycteris spurrelli,,,2,28,28,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla concava,,,2,28,28,,XY,,Animal Karyotype Book 2020 (Sotero-Caio et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla robusta,,,2,28,28,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla thomasi,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchorhina aurita,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Barros et al. 2009)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lophostoma occidentalis,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Sotero-Caio et al. 2015)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lophostoma silvicolum,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Ribas et al. 2015)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus californicus,,,2,40,40,,XY,,Animal Karyotype Book 2020 (Sotero-Caio et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus waterhousii,,,2,46,46,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Mesophylla macconnelli,,,2,22,21,,complex XY,X1X2Y,Blackmon (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris brachyotis,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris hirsuta,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris hirsuta,,,2,26,26,,XY,,Animal Karyotype Book 2020 (Ribas et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris megalotis,,,2,40,40,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris minuta,,,2,28,28,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris nicefori,,,2,28,28,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Micronycteris schmidtorum,,,2,38,38,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Mimon crenulatum,,,2,32,32,,XY,,Blackmon (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Monophyllus redmani,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phylloderma stenops,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllonycteris poeyi,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllops haitiensis,,,2,31,32,,complex XY,XY1Y2,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus discolor,,,2,32,32,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus hastatus,,,2,30,30,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus hastatus,,,2,32,32,,XY,,Animal Karyotype Book 2020 (Pieczarka et al. 2005)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus incarum,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Gomes et al. 2016)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus lineatus,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus vittatus,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus vittatus lineatus,,,2,30,30,,XY,,Animal Karyotype Book (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Rhinophyla fischerae,,,2,34,34,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Rhinophyla fischerae,,,2,38,38,,XY,,Animal Karyotype Book 2020 (Gomes et al. 2010)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Rhinophyla pumilio,,,2,36,36,,XY,,Blackmon (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Rhinophyla pumilio,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Gomes et al. 2012)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sphaeronycteris toxophyllum,,,2,28,28,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnina lilium,,,2,30,30,,XY,,Blackmon (Varella-Garcia et al. 1989)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira erythromos,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Sturnira mordax,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Tonatia bidens,,,2,16,16,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Tonatia saurophila,,,2,16,16,,XY,,Animal Karyotype Book 2020 (Sotero-Caio et al. 2017)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Trachops cirrhosus,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Uroderma bilobatum,,,2,44,44,,XY,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Uroderma magnirostrum,,,2,38,38,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Uroderma magnirostrum,,,2,36,36,,XY,,Blackmon (Pieczarka et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyressa bidens,,,2,26,26,,XY,,Animal Karyotype Book 2020 (Gomes et al. 2016)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyressa brocki,,,2,24,24,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyressa nymphaea,,,2,26,26,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyressa pusilla,,,2,18,18,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyressa thyone,,,2,24,24,,complex XY,,Animal Karyotype Book 2020 (Gomes et al. 2016)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyrodes caraccioli,,,2,30,30,,XY,,Animal Karyotype Book 2020 (Pieczarka et al. 2013)
Mammal,Chordata,Mammalia,Chiroptera,Phyllostomidae,Vampyrum spectrum,,,2,30,30,,XY,,Animal Karyotype Book (Baker et al. 1979)
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Alionycteris paucidentata,,,2,36,36,,XY,,Animal Karyotype Book (Rickart et al. 1999)
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Casinycteris ophiodon,,,2,34,34,,XY,,Animal Karyotype Book (Haiduk et al. 1981)
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus sphinx,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Ao et al. 2007)
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon helvum,,,2,34,34,,XY,,Animal Karyotype Book 2020 (Houck (Unpublished))
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Eonycteris robusta,,,2,36,36,,XY,,Animal Karyotype Book (Rickart et al. 1999)
Mammal,Chordata,Mammalia,Chiroptera,Pteropodidae,Epomops franqueti,,,2,36,36,,XY,,Animal Karyotype Book (Haiduk et al. 1981)
